"ID"	"SOURCE"	"TARGET"	"LABEL"	"TYPE"	"WEIGHT"
1	13	7	"research_project_of"	"affiliation"	2
2	14	7	"research_project_of"	"affiliation"	2
3	15	7	"research_project_of"	"affiliation"	2
4	16	7	"research_project_of"	"affiliation"	2
5	17	7	"research_project_of"	"affiliation"	2
6	18	7	"research_project_of"	"affiliation"	2
7	19	7	"research_project_of"	"affiliation"	2
8	20	7	"research_project_of"	"affiliation"	2
9	21	7	"research_project_of"	"affiliation"	2
10	22	7	"research_project_of"	"affiliation"	2
11	23	13	"works_on"	"involvement"	3
12	24	13	"works_on"	"involvement"	3
13	25	14	"works_on"	"involvement"	3
14	26	15	"works_on"	"involvement"	3
15	27	16	"works_on"	"involvement"	3
16	28	16	"works_on"	"involvement"	3
17	29	17	"works_on"	"involvement"	3
18	30	18	"works_on"	"involvement"	3
19	31	19	"works_on"	"involvement"	3
20	32	20	"works_on"	"involvement"	3
21	33	21	"works_on"	"involvement"	3
22	34	22	"works_on"	"involvement"	3
23	7	35	"hosted_by"	"affiliation"	3
24	35	1	"funding_provided_to"	"funding"	1
25	36	1	"manager_of"	"involvement"	4
26	23	37	"in_department"	"affiliation"	2
27	24	37	"in_department"	"affiliation"	2
28	25	38	"in_department"	"affiliation"	2
29	26	39	"in_department"	"affiliation"	2
30	27	40	"in_department"	"affiliation"	2
31	28	41	"in_department"	"affiliation"	2
32	29	37	"in_department"	"affiliation"	2
33	30	42	"in_department"	"affiliation"	2
34	31	43	"in_department"	"affiliation"	2
35	32	44	"in_department"	"affiliation"	2
36	33	45	"in_department"	"affiliation"	2
37	34	41	"in_department"	"affiliation"	2
38	46	1	"involved_with"	"involvement"	3
39	48	47	"director_of"	"affiliation"	4
40	36	47	"director_of"	"affiliation"	4
41	48	45	"in_department"	"affiliation"	2
42	36	45	"in_department"	"affiliation"	2
49	49	47	"involved_with"	"involvement"	3
50	50	47	"involved_with"	"involvement"	3
51	51	47	"involved_with"	"involvement"	3
52	52	47	"involved_with"	"involvement"	3
53	53	47	"involved_with"	"involvement"	3
55	55	47	"involved_with"	"involvement"	3
56	56	47	"involved_with"	"involvement"	3
58	58	47	"involved_with"	"involvement"	3
59	59	47	"involved_with"	"involvement"	3
60	60	47	"involved_with"	"involvement"	3
61	61	47	"involved_with"	"involvement"	3
62	62	47	"involved_with"	"involvement"	3
63	63	47	"involved_with"	"involvement"	3
64	64	47	"involved_with"	"involvement"	3
65	65	47	"involved_with"	"involvement"	3
66	66	47	"involved_with"	"involvement"	3
67	67	47	"involved_with"	"involvement"	3
68	36	68	"collaborator_on"	"involvement"	4
69	36	69	"collaborator_on"	"involvement"	4
70	48	68	"collaborator_on"	"involvement"	4
71	49	69	"collaborator_on"	"involvement"	4
72	53	69	"collaborator_on"	"involvement"	4
73	48	69	"collaborator_on"	"involvement"	4
74	67	69	"collaborator_on"	"involvement"	4
75	53	70	"collaborator_on"	"involvement"	4
76	55	70	"collaborator_on"	"involvement"	4
77	58	70	"collaborator_on"	"involvement"	4
78	60	70	"collaborator_on"	"involvement"	4
79	72	71	"collaborator_on"	"involvement"	4
80	56	71	"collaborator_on"	"involvement"	4
81	60	71	"collaborator_on"	"involvement"	4
82	59	71	"collaborator_on"	"involvement"	4
83	68	47	"research_project_of"	"affiliation"	2
84	69	47	"research_project_of"	"affiliation"	2
85	70	47	"research_project_of"	"affiliation"	2
86	71	47	"research_project_of"	"affiliation"	2
87	61	73	"head_of"	"involvement"	4
88	61	74	"host_of"	"involvement"	3
89	36	74	"host_of"	"involvement"	3
90	36	75	"manager_of"	"involvement"	4
91	78	75	"manager_of"	"involvement"	4
92	79	75	"manager_of"	"involvement"	4
93	80	75	"works_at"	"involvement"	3
94	81	75	"works_at"	"involvement"	3
95	82	75	"works_at"	"involvement"	3
96	83	75	"works_at"	"involvement"	3
97	84	75	"affiliated_with"	"involvement"	1
98	85	75	"affiliated_with"	"involvement"	1
99	86	76	"manager_of"	"involvement"	4
100	75	76	"part_of"	"affiliation"	2
101	76	77	"part_of"	"affiliation"	2
102	84	87	"manager_of"	"involvement"	4
103	83	87	"works_at"	"involvement"	3
104	78	35	"works_at"	"involvement"	3
105	89	88	"subproject_of"	"affiliation"	2
106	90	88	"subproject_of"	"affiliation"	2
107	91	88	"subproject_of"	"affiliation"	2
108	92	88	"subproject_of"	"affiliation"	2
109	93	88	"director_of"	"involvement"	4
110	94	88	"managing_editor_of"	"involvement"	4
111	95	88	"managing_editor_of"	"involvement"	4
112	96	88	"managing_editor_of"	"involvement"	4
113	97	88	"editorial_assistant_of"	"involvement"	4
114	81	88	"technical_editor_of"	"involvement"	4
115	98	88	"editorial_boardmember_of"	"involvement"	3
116	99	88	"editorial_boardmember_of"	"involvement"	3
117	100	88	"editorial_boardmember_of"	"involvement"	3
118	101	88	"editorial_boardmember_of"	"involvement"	3
119	102	88	"editorial_boardmember_of"	"involvement"	3
120	103	88	"editorial_boardmember_of"	"involvement"	3
121	104	88	"editorial_boardmember_of"	"involvement"	3
122	105	88	"editorial_boardmember_of"	"involvement"	3
