"ID"	"LABEL"	"CATEGORY"
1	"Beyond Search"	"Product"
3	"The Journal of Transnational American Studies"	"Group"
4	"Renaissance Body Project"	"Group"
5	"Stanford Encyclopedia of Philosophy"	"Product"
6	"Spatial History Project"	"Group"
7	"Humanities Research Network"	"Group"
8	"Nomisma.org"	"Product"
9	"Bill Lane Center for the American West"	"Group"
10	"Mapping the Republic of Letters"	"Group"
11	"Digging into the Englightenment"	"Group"
192	"David M. Kennedy"	"Individual"
199	"Chris Weaver"	"Individual"
13	"Anglo-American Antiquarians and Early Modern Science"	"Product"
14	"The Assemblies of Lovers: Art, Poetry, and Religion in Persianate Islam"	"Product"
15	"Intimate Encounters, Postcolonial Engagements: Archaeologies of Empire and Sexuality"	"Product"
16	"Knowledge in the Age of Enlightenment: Producing the Encyclopédie"	"Product"
17	"Law and Society in Egypt from Alexander to the Arab Conquest, 332 BC – 640 AD"	"Product"
18	"Literary and Cultural History of Contemporary Europe"	"Product"
19	"Poetries in Contact: The Encounter of Perso-Arabic and Sanskritic metrical traditions"	"Product"
20	"Relative Clauses and Noun-modifying Clauses: A Cross-Linguistic Investigation"	"Product"
21	"Researching the Unpublished James Joyce"	"Product"
22	"Speed Limits"	"Product"
23	"Michael Shanks"	"Individual"
24	"Giovanna Ceserani"	"Individual"
25	"Shahzad Bashir"	"Individual"
26	"Barbara Voss"	"Individual"
27	"Keith Baker"	"Individual"
28	"Dan Edelstein"	"Individual"
29	"Joe Manning"	"Individual"
30	"Amir Eshel"	"Individual"
31	"Paul Kiparski"	"Individual"
32	"Yoshiko Matsumoto"	"Individual"
33	"Carol Shloss"	"Individual"
34	"Jeffrey Schnapp"	"Individual"
35	"Stanford Humanities Center"	"Group"
36	"Matthew Jockers"	"Individual"
37	"Classics"	"Group"
38	"Religious Studies"	"Group"
39	"Anthropology"	"Group"
40	"History"	"Group"
41	"French and Italian"	"Group"
42	"Comparative Literature and German Studies"	"Group"
43	"Linguistics"	"Group"
44	"Asian Languages"	"Group"
45	"English"	"Group"
46	"Jodie Greenwood"	"Individual"
47	"Lit Lab"	"Group"
48	"Franco Moretti"	"Individual"
49	"Sarah Allison"	"Individual"
50	"Cameron Blevins "	"Individual"
51	"Ed Finn "	"Individual"
52	"Zephyr Frank "	"Individual"
53	"Ryan Heuser"	"Individual"
55	"Long Le-Khac"	"Individual"
56	"Rhiannon Lewis"	"Individual"
69	"Quantitative Formalism: an Experiment in Genre Classification"	"Product"
58	"Amir Tevel"	"Individual"
59	"Ellen Truxaw"	"Individual"
